City_Id,City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Windspeed,Date
270,manokwari,ID,-0.87,134.08,80.8,75,100,7.09,1607372425
271,manta,EC,-0.95,-80.73,84.2,62,75,8.05,1607372065
272,mantua,IT,45.17,10.78,41,93,8,4,1607372432
273,mar del plata,AR,-38,-57.56,71.6,64,0,19.46,1607372100
274,maragogi,BR,-9.01,-35.22,79.14,69,11,8.79,1607372289
275,margate,GB,51.38,1.39,42.01,90,100,1.01,1607372104
276,marovoay,MG,-16.1,46.63,84.2,79,40,8.05,1607372421
277,marrakesh,MA,31.63,-8.01,55.4,66,0,2.24,1607372316
278,marzuq,YE,14.4,46.47,63.23,68,7,1.05,1607372376
279,masallatah,LY,32.62,14,53.85,42,0,10.71,1607372439
280,matara,LK,5.95,80.54,76.33,86,40,2.37,1607372407
281,mataura,NZ,-46.19,168.86,62.01,70,3,5.01,1607372308
282,mbandaka,CD,0.05,18.26,74.89,80,23,3.18,1607372389
283,meadow lake,US,34.8,-106.54,54,20,20,1.9,1607372354
284,mehamn,NO,71.04,27.85,28.4,86,20,17.22,1607372336
285,merauke,ID,-8.47,140.33,79.79,84,100,10.07,1607372426
286,mercedes,AR,-34.65,-59.43,82,41,0,5.01,1607372409
287,meulaboh,ID,4.14,96.13,76.73,84,100,3.91,1607372384
288,mezhdurechensk,RU,53.69,88.06,7.95,91,98,4.38,1607372305
289,mitzic,GA,0.78,11.55,71.46,92,94,2.84,1607372411
290,moerai,PF,-22.43,-151.33,78.85,81,80,14.03,1607372428
291,mogadishu,SO,2.04,45.34,80.15,78,96,14.27,1607372322
292,mollendo,PE,-17.02,-72.01,69.84,67,61,7.34,1607372389
293,mongo,TD,12.18,18.69,77.16,18,78,3.91,1607372394
294,morant bay,JM,17.88,-76.41,86,70,20,4.7,1607372419
295,morgan city,US,29.7,-91.21,62.01,54,1,12.75,1607372431
296,mount gambier,AU,-37.83,140.77,48.2,81,90,5.82,1607372393
297,mount isa,AU,-20.73,139.5,77,23,74,8.05,1607372389
298,muana,BR,-1.53,-49.22,85.12,73,89,4.63,1607372352
299,mubende,UG,0.56,31.39,62.24,97,25,1.32,1607372372
300,muli,MV,2.92,73.57,82.42,79,0,11.41,1607372360
301,nago,JP,26.59,127.98,69.8,83,90,13.87,1607372298
302,namatanai,PG,-3.67,152.43,80.51,77,48,3.24,1607372393
303,namibe,AO,-15.2,12.15,68.63,70,23,9.48,1607372438
304,nanortalik,GL,60.14,-45.24,29.57,86,100,8.16,1607372309
305,nantucket,US,41.28,-70.1,39.2,60,1,5.82,1607372399
306,naushki,RU,50.38,106.11,-1.77,87,0,3.74,1607372347
307,navahrudak,BY,53.6,25.83,22.5,89,0,19.89,1607372388
308,nelson bay,AU,-32.72,152.15,66,55,75,5.82,1607372364
309,nemuro,JP,43.32,145.57,34.7,82,87,7.25,1607372118
310,nevesinje,BA,43.26,18.11,48.2,87,40,1.12,1607372364
311,new norfolk,AU,-42.78,147.06,48,74,23,1.01,1607372311
312,nikolskoye,RU,59.7,30.79,27,62,0,6.71,1607372310
313,nishihara,JP,26.18,127.76,69.8,83,75,16.11,1607372345
314,nizhniy baskunchak,RU,48.22,46.83,17.37,89,47,7.49,1607372394
315,nome,US,64.5,-165.41,14,47,1,6.93,1607372306
316,norilsk,RU,69.35,88.2,-16.6,75,90,22.37,1607372408
317,norman wells,CA,65.28,-126.83,1.4,84,75,3.36,1607372362
318,nortelandia,BR,-14.45,-56.8,80.98,69,97,1.63,1607372358
319,north bend,US,43.41,-124.22,59,76,1,4.7,1607372402
320,nouadhibou,MR,20.93,-17.03,69.8,56,0,17.22,1607372308
321,novo aripuana,BR,-5.12,-60.38,76.68,93,100,1.74,1607372416
322,novoilinsk,RU,51.68,108.71,1.13,87,85,3.58,1607372323
323,nuuk,GL,64.18,-51.72,24.8,73,20,13.87,1607372167
324,nyurba,RU,63.28,118.33,-22.45,86,0,2.75,1607372322
325,octeville,FR,49.63,-1.64,44.01,30,23,1.01,1607372381
326,ofunato,JP,39.07,141.72,41.85,82,87,4.65,1607372380
327,oistins,BB,13.07,-59.53,84.2,62,40,14.99,1607372389
328,ojinaga,MX,29.57,-104.42,64,28,1,0.72,1607372316
329,olafsvik,IS,64.89,-23.71,33.66,97,100,7.65,1607372323
330,olavarria,AR,-36.89,-60.32,86.18,16,0,13.87,1607372345
331,olinda,BR,-8.01,-34.86,80.6,61,40,11.41,1607372263
332,olyka,UA,50.72,25.81,28.99,89,27,1.01,1607372423
333,orichi,RU,58.4,49.06,17.17,93,0,8.23,1607372437
334,ostrovnoy,RU,68.05,39.51,35.89,93,100,9.66,1607372345
335,otane,NZ,-39.88,176.63,74.32,62,100,7.72,1607372392
336,ottumwa,US,41.02,-92.41,35.6,63,90,4.7,1607372235
337,paamiut,GL,61.99,-49.67,27.63,79,0,8.5,1607372368
338,pacific grove,US,36.62,-121.92,66.2,24,1,12.75,1607372367
339,pahalgam,IN,34.03,75.33,36.41,80,100,2.98,1607372332
340,palmer,US,42.16,-72.33,35.01,50,75,3.36,1607372359
341,palu,ID,-0.89,119.87,77.04,78,99,2.62,1607372357
342,panan,PH,15.21,120.03,78.8,83,40,5.82,1607372440
343,pandamatenga,BW,-18.53,25.63,72.59,81,100,3.94,1607372431
344,pangnirtung,CA,66.15,-65.71,14,78,40,2.24,1607372395
345,panjab,AF,34.39,67.02,26.08,95,100,3.96,1607372412
346,panlaitan,PH,12.12,119.85,82.87,78,100,15.59,1607372368
347,parati,BR,-23.22,-44.71,78.8,78,75,4.7,1607372363
348,parrita,CR,9.52,-84.32,82.4,57,20,18.34,1607372391
349,pastavy,BY,55.12,26.83,24.04,86,0,15.95,1607372374
350,pelym,RU,61.01,62,24.87,98,100,5.35,1607372331
351,pemangkat,ID,1.17,108.97,80.47,86,100,11.25,1607372373
352,perbaungan,ID,3.57,98.96,77,94,40,4.7,1607372372
353,petatlan,MX,17.52,-101.27,86.97,48,0,5.84,1607372438
354,pevek,RU,69.7,170.31,7.03,90,10,3,1607372325
355,pingzhuang,CN,42.04,119.29,-0.09,81,0,1.92,1607372391
356,pirogovo,RU,56.78,53.15,14,82,2,3,1607372428
357,pisco,PE,-13.7,-76.22,69.8,73,0,9.17,1607372407
358,pitimbu,BR,-7.47,-34.81,82.4,65,20,16.11,1607372378
359,plerin,FR,48.54,-2.78,41,93,75,3.36,1607372366
360,plymouth,US,41.83,-70.83,39,50,1,8.05,1607372265
361,pochutla,MX,15.74,-96.47,91.4,46,40,9.17,1607372332
362,ponta do sol,PT,32.67,-17.1,60.8,72,20,2.24,1607372343
363,poplar bluff,US,36.76,-90.39,48.99,52,75,4.59,1607372314
364,port alfred,ZA,-33.59,26.89,71.73,84,41,30.04,1607372312
365,port augusta,AU,-32.5,137.77,59,54,90,10.29,1607372383
366,port elizabeth,ZA,-33.92,25.57,68,94,3,23.04,1607372342
367,port hardy,CA,50.7,-127.42,50,93,90,9.17,1607372259
368,port keats,AU,-14.25,129.55,78.82,87,100,6.71,1607372394
369,port lincoln,AU,-34.73,135.87,54.79,66,99,6.35,1607372316
370,port-gentil,GA,-0.72,8.78,78.8,94,75,6.93,1607372419
371,portland,US,45.52,-122.68,51.01,65,1,12.75,1607372347
372,potiskum,NG,11.71,11.07,79.38,21,67,10.51,1607372412
373,poum,NC,-20.23,164.02,79.36,80,67,12.35,1607372432
374,prado,BR,-17.34,-39.22,78.3,73,5,13.13,1607372410
375,praia da vitoria,PT,38.73,-27.07,62.6,77,75,8.41,1607372417
376,prainha,BR,-1.8,-53.48,91.87,44,63,5.57,1607372410
377,provideniya,RU,64.38,-173.3,12.2,72,0,6.71,1607372325
378,puerto ayora,EC,-0.74,-90.35,84.2,58,75,9.17,1607372313
379,puerto madero,MX,14.72,-92.42,83.32,69,0,6.53,1607372405
380,puerto madryn,AR,-42.77,-65.04,100.4,15,75,28.86,1607372160
381,punta arenas,CL,-53.15,-70.92,60.8,59,75,11.41,1607372306
382,qaanaaq,GL,77.48,-69.36,-6,86,79,2.24,1607372365
383,qandala,SO,11.47,49.87,77.5,53,0,4.59,1607372369
384,qaqortoq,GL,60.72,-46.03,21.2,53,40,3.36,1607372302
385,qinhuangdao,CN,39.93,119.59,22.08,70,0,4.14,1607372118
386,qovlar,AZ,40.95,45.73,33.8,93,90,2.24,1607372331
387,quang ngai,VN,15.12,108.8,70.25,91,100,7.85,1607372401
388,quatre cocos,MU,-20.21,57.76,77,83,40,3.36,1607372431
389,raga,SS,8.46,25.68,75.74,21,0,4.79,1607372330
390,raichur,IN,16.2,77.37,69.78,71,0,5.48,1607372362
391,ranir bazar,IN,23.83,91.37,62.89,77,0,3.47,1607372416
392,reconquista,AR,-29.15,-59.65,81.23,43,0,6.64,1607372388
393,rensvik,NO,63.1,7.82,46.4,65,0,14.99,1607372400
394,ribas do rio pardo,BR,-20.44,-53.76,83.37,64,83,11.97,1607372428
395,ribeira grande,PT,38.52,-28.7,60.8,63,75,9.17,1607372314
396,richards bay,ZA,-28.78,32.04,73.17,83,100,8.59,1607372431
397,rikitea,PF,-23.12,-134.97,75.4,78,0,16.26,1607372303
398,riyadh,SA,24.69,46.72,57.2,58,0,5.82,1607372205
399,road town,VG,18.42,-64.62,84.2,66,40,8.05,1607372434
400,roald,NO,62.58,6.13,44.01,81,0,3.36,1607372342
401,rocha,UY,-34.48,-54.33,70.3,54,28,13.47,1607372413
402,rock sound,BS,24.9,-76.2,77.74,83,100,25.57,1607372417
403,roma,US,43.21,-75.46,28.4,68,90,10.29,1607372285
404,rorvik,NO,64.86,11.24,44.6,75,75,10.29,1607372392
405,sabang,ID,5.89,95.32,80.44,81,71,13.8,1607372402
406,saint george,US,37.1,-113.58,61,17,1,3.11,1607372314
407,saint-joseph,RE,-21.37,55.62,77,73,0,4.7,1607372342
408,saint-philippe,RE,-21.36,55.77,77,73,0,4.7,1607372308
409,saint-pierre,RE,-21.34,55.48,77,73,0,4.7,1607372336
410,sakakah,SA,29.97,40.21,55.4,58,0,6.93,1607372328
411,saldanha,ZA,-33.01,17.94,64.4,77,0,4.7,1607372363
412,salinopolis,BR,-0.61,-47.36,83.25,72,86,11.45,1607372140
413,samarai,PG,-10.62,150.67,81.55,81,95,7.99,1607372385
414,san cristobal,VE,7.77,-72.22,89.6,46,40,13.87,1607372370
415,san francisco,US,37.77,-122.42,71.6,45,1,6.93,1607372118
416,san giustino,IT,43.55,12.17,39.99,80,56,4.43,1607372409
417,san patricio,US,28.02,-97.52,69.8,28,1,4.7,1607372354
418,san quintin,MX,30.48,-115.95,68.4,44,96,9.69,1607372418
419,sangmelima,CM,2.93,11.98,70.56,89,68,3.31,1607372384
420,santa barbara,US,34.73,-120.03,71.01,22,1,12.19,1607372406
421,santa cruz de la palma,ES,28.68,-17.76,64.4,72,40,11.41,1607372433
422,santa maria,BR,-29.68,-53.81,77,61,75,4.7,1607372366
423,santiago,CL,-33.46,-70.65,86,23,0,10.29,1607372352
424,sao felix do xingu,BR,-6.64,-51.99,82.24,86,100,1.45,1607372407
425,sao filipe,CV,14.9,-24.5,75.38,75,85,12.68,1607372391
426,sao jose da coroa grande,BR,-8.9,-35.15,79.54,68,29,8.77,1607372433
427,sao miguel do araguaia,BR,-13.28,-50.16,89.26,51,45,4.25,1607372413
428,sao raimundo nonato,BR,-9.02,-42.7,88.36,46,98,3.04,1607372073
429,saskylakh,RU,71.92,114.08,-14.35,88,100,4.29,1607372320
430,seoul,KR,37.57,126.98,28.4,58,1,6.6,1607372212
431,severnyy,RU,50.68,36.55,15.8,78,0,17.9,1607372421
432,severo-kurilsk,RU,50.68,156.12,26.22,92,94,12.39,1607372322
433,seydi,TM,39.48,62.91,16.72,82,69,8.34,1607372292
434,shakiso,ET,5.75,38.92,59.11,90,1,2.64,1607372370
435,shenjiamen,CN,29.96,122.3,55.92,72,100,14.09,1607372373
436,shimoda,JP,34.67,138.95,50,71,0,1.01,1607372423
437,shingu,JP,33.73,135.98,47.28,81,0,6.17,1607372340
438,shubarkuduk,KZ,49.14,56.49,7.23,87,0,3.36,1607372311
439,shumskiy,RU,54.83,99.13,14.88,86,100,5.53,1607372430
440,shunyi,CN,40.12,116.65,24.01,52,0,2.24,1607372328
441,sibolga,ID,1.74,98.78,77.25,77,100,2.89,1607372233
442,sikonge,TZ,-5.63,32.77,68,77,40,9.17,1607372439
443,simao,CN,22.79,100.97,50.68,94,0,1.88,1607372345
444,simbahan,PH,6.3,120.58,83.01,76,78,9.62,1607372378
445,sistranda,NO,63.73,8.83,46.4,65,0,27.51,1607372329
446,sitka,US,57.05,-135.33,48.2,76,90,24.16,1607372370
447,skjervoy,NO,70.03,20.97,35.6,69,75,3.36,1607372355
448,soe,ID,-9.86,124.28,67.59,98,100,3.4,1607372371
449,sorland,NO,67.67,12.69,41,75,20,18.34,1607372352
450,sorong,ID,-0.88,131.25,80.53,77,100,3.47,1607372330
451,soyo,AO,-6.13,12.37,78.76,83,100,8.32,1607372387
452,srednekolymsk,RU,67.45,153.68,-24,86,100,9.66,1607372405
453,stepnyak,KZ,52.83,70.78,11.08,91,88,16.62,1607372398
454,stornoway,GB,58.21,-6.39,44.6,87,100,13.87,1607372390
455,suamico,US,44.63,-88.04,36,69,90,6.93,1607372324
456,suntar,RU,62.14,117.63,-16.42,89,48,1.23,1607372421
457,sur,OM,22.57,59.53,75.43,68,0,10,1607372305
458,suraabad,AZ,40.82,49.47,41,80,90,2.24,1607372366
459,svetlogorsk,BY,52.63,29.73,21.34,88,0,13.69,1607372399
460,tabou,CI,4.42,-7.35,79.12,81,1,3.29,1607372397
461,tacub,PH,8.19,124.11,75,90,93,5.01,1607372408
462,tahe,CN,52.33,124.73,1.09,90,0,3.76,1607372327
463,takoradi,GH,4.88,-1.76,79.3,85,1,7.52,1607372398
464,talnakh,RU,69.49,88.4,-16.6,75,90,22.37,1607372377
465,taoudenni,ML,22.68,-3.98,64.98,28,0,11.52,1607372318
466,tasiilaq,GL,65.61,-37.64,17.6,67,0,2.24,1607372315
467,tautira,PF,-17.73,-149.15,77,83,75,11.41,1607372348
468,tazmalt,DZ,36.39,4.4,57.2,58,40,8.05,1607372377
469,tazovskiy,RU,67.47,78.7,-10.5,90,1,13.76,1607372415
470,te anau,NZ,-45.42,167.72,55.44,80,8,6.22,1607372398
471,teacapan,MX,22.55,-105.75,80.37,26,99,4.32,1607372383
472,the valley,AI,18.22,-63.06,86,78,20,11.41,1607372400
473,thinadhoo,MV,0.53,72.93,82.33,79,100,14.14,1607372338
474,thohoyandou,ZA,-22.95,30.48,67.53,87,100,2.06,1607372351
475,thunder bay,CA,48.4,-89.32,32,91,90,8.05,1607372410
476,tiksi,RU,71.69,128.87,-18.6,89,100,2.68,1607372315
477,tilichiki,RU,60.47,166.1,13.59,98,100,4.5,1607372307
478,tonekabon,IR,36.82,50.87,46.4,87,75,2.24,1607372231
479,torbay,CA,47.67,-52.73,46.99,93,90,3.36,1607372328
480,trinidad,BO,-14.83,-64.9,91.4,46,40,5.82,1607372333
481,tromso,NO,69.65,18.96,25,92,0,6.93,1607372412
482,tual,ID,-5.67,132.75,83.1,74,86,2.04,1607372415
483,tuatapere,NZ,-46.13,167.68,62.01,70,10,5.01,1607372333
484,tuktoyaktuk,CA,69.45,-133.04,3.2,84,90,6.93,1607372307
485,tura,IN,25.52,90.22,60.19,82,0,4.03,1607372344
486,turayf,SA,31.67,38.66,50,93,0,6.93,1607372420
487,turbat,PK,26,63.04,71.06,75,0,0.69,1607372304
488,ucluelet,CA,48.93,-125.55,48.99,93,90,9.17,1607372385
489,udachnyy,RU,66.42,112.4,-16.6,75,0,4.47,1607372355
490,ulaanbaatar,MN,47.91,106.88,-25.6,67,0,2.24,1607372156
491,umm lajj,SA,25.02,37.27,72.86,40,0,6.58,1607372390
492,upernavik,GL,72.79,-56.15,18.12,96,100,11.68,1607372317
493,ushuaia,AR,-54.8,-68.3,55.4,66,40,3.36,1607372304
494,vaini,TO,-21.2,-175.2,78.8,88,75,9.17,1607372309
495,vanimo,PG,-2.67,141.3,77.76,85,100,4.25,1607372379
496,verkhnyaya maksakovka,RU,61.63,50.97,19.4,73,0,6.71,1607372415
497,vestmannaeyjar,IS,63.44,-20.27,40.03,76,100,23.6,1607372377
498,victoria,HK,22.29,114.16,66,68,63,11.72,1607372230
499,viedma,AR,-40.81,-63,93,16,2,11.01,1607372395
500,vieste,IT,41.88,16.18,54,81,20,3.36,1607372427
501,vila franca do campo,PT,37.72,-25.43,59,77,75,2.24,1607372303
502,vila velha,BR,-20.33,-40.29,84.2,66,20,17.22,1607372420
503,villa bruzual,VE,9.33,-69.12,83.08,74,96,2.59,1607372323
504,villazon,BO,-22.09,-65.59,65.77,30,35,10.63,1607372381
505,visnes,NO,59.36,5.22,48.99,61,75,23.04,1607372302
506,vostok,RU,46.49,135.88,-1.12,95,90,5.17,1607372425
507,waddan,LY,29.16,16.14,52.74,34,0,1.83,1607372337
508,wahiawa,US,21.5,-158.02,80.6,88,90,4.7,1607372339
509,waingapu,ID,-9.66,120.26,79.92,82,100,6.53,1607372378
510,wakkanai,JP,45.41,141.67,29.44,91,100,15.59,1607372403
511,wanlaweyn,SO,2.62,44.89,78.84,76,100,12.46,1607372381
512,warnes,BO,-17.5,-63.17,89.6,43,75,8.05,1607372418
513,warragul,AU,-38.17,145.93,48,94,85,4,1607372306
514,wasilla,US,61.58,-149.44,28.4,68,1,6.93,1607372229
515,west bay,KY,19.37,-81.42,84.99,70,20,11.41,1607372435
516,westport,US,41.14,-73.36,39.99,48,1,8.05,1607372356
517,whitehorse,CA,60.72,-135.05,30.99,92,75,12.75,1607372304
518,winnemucca,US,40.97,-117.74,44.6,45,1,3.36,1607372379
519,xai-xai,MZ,-25.05,33.64,71.26,85,0,9.48,1607372404
520,xining,CN,36.62,101.77,18.01,84,88,4.14,1607372390
521,xuddur,SO,4.12,43.89,82.54,48,80,12.64,1607372430
522,yaan,NG,7.38,8.57,85.75,37,0,1.83,1607372341
523,yakovlevka,RU,44.42,133.48,10.49,91,1,3.44,1607372392
524,yamada,JP,39.47,141.95,40.66,83,89,5.48,1607372382
525,yantzaza,EC,-3.83,-78.76,84.2,39,75,11.41,1607372340
526,yar-sale,RU,66.83,70.83,-3.3,87,0,7.02,1607372388
527,yellowknife,CA,62.46,-114.35,19.99,92,75,8.05,1607372102
528,yen bai,VN,21.7,104.87,62.62,72,100,2.15,1607372332
529,yerbogachen,RU,61.28,108.01,8.08,94,100,9.48,1607372375
530,yukhnov,RU,54.74,35.23,16.81,94,0,7.07,1607372344
531,yulara,AU,-25.24,130.99,73.4,24,0,10.29,1607372429
532,yurginskoye,RU,56.82,67.39,21.27,98,98,8.19,1607372326
533,zhangye,CN,38.93,100.45,23.32,79,66,2.26,1607372352
534,zhezkazgan,KZ,47.8,67.71,2.61,93,0,8.66,1607372335
535,zhigansk,RU,66.77,123.37,-24.7,87,100,3.27,1607372388
